PERSON ID,NAME,OTHER NAMES,ETHNICITY/NATIONALITY,PHYSICAL DESCRIPTORS,LOCATION(S),LOCATION IDS,BIOGRAPHICAL INFORMATION
P1,MOLIA,"COOBAH

CUBBAH",EBO,"4'6 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)

BRAND ON HER FOREHEAD (1770)

CHAIN/COLLAR MARKS AND SCARS ON HER NECK/SHOULDERS

SCARS FROM REPEATED FLOGGINGS","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1774)",L1; L3,"Molia first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Wonga (also known as Princess) to be 'seasoned'. One week after her purchase, he put her to work in Egypt's fields.

 Four years following her purchase, Molia gave birth to a mixed race baby girl named Silvia. When Silvia was fifteen months old, Thistlewood hired Molia to labor on Masemure, a neighboring sugar plantation. He forced her to leave Silvia behind and in the care of Nanny, another enslaved mother of a little girl named Little Phibbah who was the same age as Silvia. Shortly after their separation, Silvia fell sick and died. 

Molia was never the same following Silvia's death. She never had any more children, and and she also refused to stay in place. Over the course of the next six years, she would run away no less than fourteen times. The seventh of these escapes was to a place called Bluefields Bay, to see a person Molia herself identified as a ""Shipmate,"" a person who had survived the Middle Passage voyage with her to Jamaica. The fourteenth of these escapes (and the last that she would make in Jamaica) was to an estate called Paradise; it was the same estate where Molia had been sent to give birth to Silvia. 

Following this fourteenth recapture, Thistlewood sold Molia to another slave owner, who transported her away from Jamaica, and to the British colony of Savannah. Georgia."
P2,SILVIA,,"HALF EBO
MOST LIKELY MIXED RACE",FAIRSKINNED;'MULATTO' (1766),"EGYPT ESTATE (1766)

BREADNUT ISLAND PEN (1767-1768)",L1; L3,"Silvia was born on November 12, 1766. Her mother was Molia, an ""Ebo"" woman presumed to have been 15 at the time of her capture into the slave trade, and 20 at the time of her birth. Silvia's father was never identified, although he was presumed by Thistlewood to have been a white man. Her mother was assisted in the delivery by an enslaved grannie named Paradise Quasheba. For the first fifteen months of her life Silvia lived with her mother, and another enslaved young African woman named Peggy. 

In the winter of 1768, Thistlewood contracted Molia out to labor on a neighboring sugar estate named Masemure. He forced Molia to leave Silvia behind and in the care of another enslaved woman named Nanny, who also had a 1 year old daughter named Little Phibbah. Several months after her mother's departure, Silvia became sick of an unknown illness, and died at just fifteen months old."
P3,EGYPT LUCY,,?,,EGYPT ESTATE (1750-1772),L1,"Egypt Lucy was an Afro-Creole woman who labored on Egypt Estate's First gang for much of her life.

She had two primary domestic partners: Daniel, a skilled enslaved laborer who lived on Egypt, and Mason Quashe a skilled enslaved laborer who belonged to Elizabeth Anderson--the quadroon mistress of William Dorrill, Thistlewood's first employer-- and who was a regular visitor at Egypt to perform various tasks of carpentry, masonry, and even supervision of the First Gang. 

Between 1750 and her death in 1772, Egypt Lucy had three confirmed pregnancies: one in October 1754 to her daughter Julina with Daniel, the second in August of 1758 to an unnamed son (presumably also with Daniel) who died at just 5 days old, and the third in November of 1759 to a son who was named Little Quashe (presumably after his father, Mason Quashe).

In May 1760, Egypt became the wet nurse to John, the son of Egypt's housekeeper and Thistlewood. This seemed to mark the beginining of a strong and lasting friendship between not only Egypt Lucy and Phibbah, but between Egypt Lucy and Phibbah's broader social network of enslaved domestic workers. This circle included Phibbah's sister, Nancy,her daughter Accubah, an enslaved healer woman named Vine, and another enslaved domestic worker called House Franke. Together, the six women formed an agricutural co-op of sorts, pooling the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

Egypt Lucy was relatively prosperous as a enslaved business woman; such that in 1769, she along with Phibbah, and House Franke gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independeny penkeeper of a property called Breadnut Island Pen. EGypt Lucy would als give Thistlewood a second personal loan of 10 pounds; he would go on to repay both loans within about a year. 

Following her stint as John's wetnurse, Egypt Lucy continued to act as a care provider and parental influence for both Phibbah's children. When Phibbah and Thistlewood moved away from Egypt and left John behind, they entrusted EGypt Lucy to escort him to their newhome on Breadnut Islabd Pen for visits. Egypt Lucy also kept abreast of the day-to-day and night-to-night activities of Phibbah's daughter Accubah--including her covert fasincination and involvement in the secret Myal society.

On multiple occasions throughout the years, Egypt Lucy was chosen by her white masters to be a 'seasoner,' a role designed for mostly Afro-Creole enslaved men and women who had either been born or resided in Jamaica for extended periods of time to acclimate/'season' newly arrived Africans to their new realities. In December of 1761, after purchasing 6 new Africans from a slave trader named John Hutt, Thistlewood tasked Egpyt Lucy with being the seasoner of a young African girl included in this sale named Ogo (he would rename her Maria). In November of 1766, Ogo would give birth to her first child: a daughter named Lucy.

In July 1770, shortly following Molia's fourth escape from and return to Breadnut Island Pen, Egypt Lucy paid a visit to the pen, where she interrupted Thistlewood's attempt to punish Molia by confining her to a set of bilboes, convincing him not to.

As a field laborer, Egypt Lucy was frequently in poor health. In June of 1772, she died. Phibbah and a 12 year old John attended her funeral and burial."
P4,JULINA,,?,,EGYPT ESTATE (1750--?),L1,"Julina was born in October of 1754 on Egypt Estate. Her mother was Egypt Lucy, an enslaved and Afro-Creole member Egypt estate's first gang. Her father was Daniel, an enslaved skilled laborer who also lived on Egypt. 

In August of 1758, Julina's mother Egypt Lucy gave birth to an unnamed baby boy, Julina's brother, who died at 5 days old. The following year, in November of 1759, Egypt Lucy was sent away from Egypt to a neighboring estate called Paradise, where she gave birth to another son, Julina's second brother, who was named Little Quashe. Julina fell sick while her mother was away, but soon recovered. Little Quashe and Egypt Lucy returned to Egypt in January of 1760, where they would continue as one nuclear household.

In October of 1766, Julina would, for reasons unspecified by Thistlewood, accompany Molia to Paradise for her lying in period before she gave birth to Silvia in November of that same year.

In December of 1770, Julina became the mistress/concubine of a white man named Robert Parker, a friend of Thistlewood's. "
P5,LITTLE QUASHE,,?,,EGYPT ESTATE (1759--?),L1,"Little Quashe was born in November of 1759, the son of Egypt Lucy, a field laborer of Egypt Estate and Mason Quashe, a skilled enslaved laborer who belonged to Elizabeth Anderson--the quadroon mistress of William Dorrill, Thistlewood's first employer-- and who was a regular visitor at Egypt to perform various tasks of carpentry, masonry, and even supervision of the First Gang. He was half-brother to Julina, Egypt Lucy's first daughter. 

Like many children of his time and place, Little Quashe was frequently ill. He was cared for by his mother, as well as by his mother's close friends, Phibbah (the housekeeper of Egypt Estate), and Vine, an enslaved woman, healer and storyteller from a neighboring estate."
P6,ABBA,,AFRICAN,,"EGYPT ESTATE (1758--1767)

BREADNUT ISLAND PEN (1767-1786)",L1; L3,"Abba was an enslaved African young woman, first appearing in the diary in Februaryof 1758 when she was purchased by Thistlewood from a slave trader named John Parkinson for 46 pounds. Thistlewood intended for her to be a domestic worker, setting her to train in the cookroom with Egypt's housekeeper Phibbah, then hiring her out to other white neighbors throughout the parish.

Abba would have several domestic/sexual partners over the course of the twenty eight years she appears in the diaries. The first of these was Hazat, a driver who belonged to William Mould, an owner of a neighboring plantation. Another was Cudjoe, an enslaved fieldhand who belonged to John Rickett, one of Thistlewood's friends. A third was Neptune, an enslaved man who belonged to a Savanna la Mar tavern owner and another of Thistlewood's friends, Thomas Emotson. A fourth was Lincoln, the very first enslaved person Thistlewood ever purcahsed.

Abba was unique among the many enslaved women who appear in the diairies in the sense that was extremely fertile, having a total of thirteen pregnancies over the span of twenty eight years. Ten of these resulted in live births, one in a stillbirth. Of these ten children, six (Including Johnie, Neptune, Jenny, Mary)survived their first year of life  and four survived until at least 1786, the year of Thistlewood's death and the last year of the diary records.

Abba and her children's living arrangements fluctuated usually depending upon who her current sexual/domestic partner was, but for a period of time in 1767, she and Mary, Johnie and Neptune lived with Sally, a Congo woman who Thistlewood had first purchased as a 8 or 9 year old child in 1762.

Abba was known to tell the Anansi spider stories that she had learned from her homeland alongside Vine, an enslaved domestic woman and healer from a neighboring plantation called Cabaritta Estate.

Abba would be one of the enslaved people on Breadnut Island Pen who would go on to outlive Thistlewood following his death in 1786. In a 1787 appraisal of his human property, her age was described as ""unknown"", and she was valued at 40 pounds."
P7,PHIBBAH,PHIB; PHIBBAH,?,,"EGYPT ESTATE (?--1767)

PARADISE ESTATE

SALT RIVER ESTATE

BREADNUT ISLAND PEN (1767-1786)",L1; L2; L3; L4,"Phibbah was the Afro-Creole housekeeper of Egypt Estate. She was owned by Molly Cope, the wife of John Cope, Thistlewood's employer. A prominent and influential figure among the broader enslaved communit, Phibbah often leveraged that influence to gain relative material and social benefits for herself, her children and her other loved ones.

Phibbah was very close with a sister named Nancy who lived on a neighboring plantation and very frequently visited her.

Phibbah had an unnamed enslaved husband, but this relationship was soon displaced by the sexual/domestic relationship she would strike up with Thistlewood that would last for over three decades, ending only in his death in 1786. Although he was never monogamous, Thistlewood referred to Phibbah as his ""wife"".

The diaries depict Phibbah as having three confirmed pregnancies/children. The first was a daughter named Accubah [unknown date of birth and father; also called Coobah and later Jenny Young], a stillborn boy [with John Cope, born ] and John [her son with Thistlewood who lived to the age of 20].

Phibbah had a tight knit circle of friends, most of whom were enslaved women domestic laborers. These included her sister Nancy, her daughter Accubah, domestic laborer and healer Vine, and domestic laborer House Franke. Following the birth of her son John in 1760, she also became very close friends with an enslaved field woman of Egypt estate called Egypt Lucy who served as John's wetnurse. Phibbah often visited with Egypt Lucy, cared for her son Little Quashe when he was will. She also brought Egypt Lucy into the agricultural co-op network that she had formed with her sister, daughter and other friends. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

Phibbah was a very prosperous businesswoman and in 1769, she along with Egypt Lucy, and House Franke gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independent penkeeper of a property called Breadnut Island Pen-- a loan that he would return about a year or so later. It was one of several loans she would give to them him throughout their relationship.

Phibbah outlived Thistlewood, and was granted her freedom following his death in 1786."
P8,NANCY,,?,,PARADISE ESTATE (1750-1786),L2,"Nancy was an Afro-Creole domestic laborer who lived on/moved between Egypt estate, as well as Paradise estate (another plantation owned by John Cope. She was the sister of Phibbah, Egypt's housekeeper, and aunt to Phibbah's two children, Accubah [also known as Coobah and later Jenny Young] and John.

The diaries confirm Nancy as having two pregnancies; one in  to a boy named Davie who fell sick snd died in 1756, and another in 1757 to a girl who was born dead.

Like Phibbah, Nancy held relative measures of material and social privilege. She held multiple 'balls' that her sister and other domestic enslaved labrers and whites attended. She was able to 'rent' out the labor of an enslaved Egypt fieldwoman named Rose to assist her in caring for Davie when he was ill. In the aftermath of Davie's death, Nancy held a ""play"" (funeral) for Davie that lasted for two days/nights.

Nancy was close friends with her sister Phibbah, as well as a broader circle of friends that included ncluded her sister Phibbah, her niece Accubah, domestic laborer and healer Vine, domestic laborer House Franke, and fieldwoman Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom (notably, Nancy's).
"
P9,JOHN,"MULATTO JOHN

PHIBBAH'S JOHN",MIXED RACE,FAIR SKINNED; 'MULATTO',"EGYPT ESTATE (1760)

MRS BENNETT'S",L1; L18,"John was the mixed race son of Phibbah, the housekeeper of Egypt Estate, and Thomas Thistlewood, Egypt's overseer and the later owner of Breadnut Island Pen. Although he assumed paternal and financial support for him, Thistlewood never directly acknowledged paternity of John in the diaries, either referring to him as ""Phibbah's child"" or ""Mulatto John"".

John was born in April of 1760 in a difficult birth, assisted by a midwife from Salt River estate called Old Daphne and House Franke, his mother's close friend and business partner. In the days following his birth, John was nursed by an Egypt fieldwoman named Egypt Lucy, who would go on to become one of his mother's closest friends, business partners, and a caregiver for John when his parents moved away from him.

Phibbah secured a promise from Thistlewood in October of 1761 that John would be granted his freedom and in May of 1762, he fulfilled that promise. During the majority of his childhood, the freed John was sent to live in a boarding school for mixed race children where he learned how to read and write, was eventually apprenticed to become a carpenter at the age of 15, and allowed to join in Jamaica's 'colored' militia. One of his childhood friends was James, the son of a mixed race domestic laborer named Little Mimber on a neighboring plantation.

John was not diligent in his apprenticeship, often absenting from work for days on end. He was frequently in debt, and involved in domestic disputes. 

John lived to the age of twenty, then died in September of 1780 of a sudden, putrid stomach infection that turned his fingernails black and shredded his intestines. Phibbah was beside herself with grief, later suspecting that he had been willfully poisoned as a result of a love triangle gone horribly wrong. The death struck a heavy blow to the broader enslaved community, many of whom came to his burial. John’s half-sister Accubah came to stay with their mother for several weeks afterwards. "
P10,HOUSE FRANKE,,?,,PARADISE ESTATE,L2,"House Franke was an enslaved domestic laborer who lived on Paradise estate. She was a very close friend of Phibbah [the housekeeper of Egypt estate], Phibbah's sister Nancy, Phibbah's daughter Accubah [also known as Coobah and later, Jenny Young], an enslaved domestic laborer and healer named Vine, and an enslaved Egypt fieldwoman named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

House Franke had a husband named Paradise Jack who (presumably) lived with her at Paradise. 

House Franke was a very frequent visitor to Egypt, and to Breadnut Island Pen to visit with Phibbah. When Phibbah gave birth to John in 1760, House Franke came and stayed at Egypt for several days to assist at her bedside. When Phibbah herself fell ill, House Franke came and stayed with her again to nurse her back to health. Like Egypt Lucy, House Franke also mantained a significant presence in the lives of Phbbah's children (who did not live with her for the majority of the time).

House Franke was a relatively prosperous businessowman and in  1769, she along with Phibbah, and Egypt Lucy gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independeny penkeeper of a property called Breadnut Island Pen. He would repay the loan about a year later. House Franke made a second loan to Thistlewood in December of 1770; he repaid it in September of 1771."
