PERSON ID,Source,ALT. NAMES,Label,NAME,RELATION IDS,Target,BIOGRAPHICAL INFORMATION
P1,MOLIA,COOBAH,MOTHER OF,SILVIA,P2,SILVIA,"Molia first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Wonga (also known as Princess) to be 'seasoned'. One week after her purchase, he put her to work in Egypt's fields.

 Four years following her purchase, Molia gave birth to a mixed race baby girl named Silvia. When Silvia was fifteen months old, Thistlewood hired Molia to labor on Masemure, a neighboring sugar plantation. He forced her to leave Silvia behind and in the care of Nanny, another enslaved mother of a little girl named Little Phibbah who was the same age as Silvia. Shortly after their separation, Silvia fell sick and died. 

Molia was never the same following Silvia's death. She never had any more children, and and she also refused to stay in place. Over the course of the next six years, she would run away no less than fourteen times. The seventh of these escapes was to a place called Bluefields Bay, to see a person Molia herself identified as a ""Shipmate,"" a person who had survived the Middle Passage voyage with her to Jamaica. The fourteenth of these escapes (and the last that she would make in Jamaica) was to an estate called Paradise; it was the same estate where Molia had been sent to give birth to Silvia. 

Following this fourteenth recapture, Thistlewood sold Molia to another slave owner, who transported her away from Jamaica, and to the British colony of Savannah. Georgia."
P1,MOLIA,COOBAH,HOUSEMATE OF,PEGGY,P19,PEGGY,
P1,MOLIA,COOBAH,SHIPMATE OF,SHIPMATE,P23,SHIPMATE,
P1,MOLIA,COOBAH,IGBO ,OGO,P13,OGO,
P1,MOLIA,COOBAH,CAREGIVER OF/FOR,ABBA,P6,ABBA,
P1,MOLIA,COOBAH,GARDENER,,,#N/A,
P1,MOLIA,COOBAH,SEASONEE OF,,P27,WANGA,
,,,,,,,
P2,SILVIA,,DAUGHTER OF,MOLIA,P1,MOLIA,"Silvia was born on November 12, 1766. Her mother was Molia, an ""Ebo"" woman presumed to have been 15 at the time of her capture into the slave trade, and 20 at the time of her birth. Silvia's father was never identified, although he was presumed by Thistlewood to have been a white man. For the first fifteen months of her life Silvia lived with her mother, and another enslaved young African woman named Peggy. 

In the winter of 1768, Thistlewood contracted Molia out to labor on a neighboring sugar estate named Masemure. He forced Molia to leave Silvia behind and in the care of another enslaved woman named Nanny, who also had a 1 year old daughter named Little Phibbah. Several months after her mother's departure, Silvia became sick, and died."
,,,,,,,
